rbd;program_code;lat;lon;total_capacity;total_admission_seats;integration_student_seats;priority_student_seats;high_selectivity_seats_transitional;high_selectivity_seats_ranking;regular_seats;true_applicants_last_year;calibration_2024_imputed;calibration_2024_imputation_method;program_lottery_population_2024;priority_share_priority_sibling_2024;cum_share_before_priority_sibling_2024;cum_share_through_priority_sibling_2024;priority_share_priority_student_2024;cum_share_before_priority_student_2024;cum_share_through_priority_student_2024;priority_share_priority_parent_civil_servant_2024;cum_share_before_priority_parent_civil_servant_2024;cum_share_through_priority_parent_civil_servant_2024;priority_share_priority_ex_student_2024;cum_share_before_priority_ex_student_2024;cum_share_through_priority_ex_student_2024;priority_share_no_priority_2024;cum_share_before_no_priority_2024;cum_share_through_no_priority_2024
218;131000000133;-22,45826;-68,93124;216;201;0;26;0;0;175;82;FALSE;observed_2024_program_match;274;0.0437956204;0;0.0437956204;0.1094890511;0.0437956204;0.1532846715;0;0.1532846715;0.1532846715;0;0.1532846715;0.1532846715;0.8467153285;0.1532846715;1
219;131000000133;-22,45876;-68,92049;336;312;0;51;0;0;261;264;FALSE;observed_2024_program_match;611;0.0605564648;0;0.0605564648;0.0752864157;0.0605564648;0.1358428805;0.0016366612;0.1358428805;0.1374795417;0;0.1374795417;0.1374795417;0.8625204583;0.1374795417;1
220;131000000133;-22,43762;-68,92455;264;252;0;40;0;0;212;486;FALSE;observed_2024_program_match;968;0.0537190083;0;0.0537190083;0.0382231405;0.0537190083;0.0919421488;0.0020661157;0.0919421488;0.0940082645;0;0.0940082645;0.0940082645;0.9059917355;0.0940082645;1
253;131000000131;-22,46572;-68,92669;85;4;0;0;0;0;4;66;FALSE;observed_2024_program_match;146;0.0410958904;0;0.0410958904;0;0.0410958904;0.0410958904;0.0068493151;0.0410958904;0.0479452055;0.0205479452;0.0479452055;0.0684931507;0.9315068493;0.0684931507;1
254;131000000113;-22,46153;-68,92767;88;17;0;0;0;0;17;17;FALSE;observed_2024_program_match;59;0.0169491525;0;0.0169491525;0.0338983051;0.0169491525;0.0508474576;0;0.0508474576;0.0508474576;0;0.0508474576;0.0508474576;0.9491525424;0.0508474576;1
255;131000000133;-22,459898;-68,930699;135;26;0;0;0;0;26;59;FALSE;observed_2024_program_match;152;0.0657894737;0;0.0657894737;0.0197368421;0.0657894737;0.0855263158;0;0.0855263158;0.0855263158;0.0065789474;0.0855263158;0.0921052632;0.9078947368;0.0921052632;1
256;131000000133;-22,46957;-68,92653;176;17;0;0;0;0;17;107;FALSE;observed_2024_program_match;205;0.0195121951;0;0.0195121951;0.0097560976;0.0195121951;0.0292682927;0.0048780488;0.0292682927;0.0341463415;0.0097560976;0.0341463415;0.043902439;0.956097561;0.043902439;1
268;131000000133;-21,22388;-68,25251;9;7;0;2;0;0;5;1;FALSE;observed_2024_program_match;1;0;0;0;1;0;1;0;1;1;0;1;1;0;1;1
270;131000000133;-23,19017;-68,00643;40;10;0;0;0;0;10;4;FALSE;observed_2024_program_match;7;0;0;0;0.1428571429;0;0.1428571429;0;0.1428571429;0.1428571429;0;0.1428571429;0.1428571429;0.8571428571;0.1428571429;1
279;131000000133;-23,61371;-70,38282;416;379;0;63;0;0;316;618;FALSE;observed_2024_program_match;1037;0.0906460945;0;0.0906460945;0.0540019286;0.0906460945;0.1446480231;0.0009643202;0.1446480231;0.1456123433;0;0.1456123433;0.1456123433;0.8543876567;0.1456123433;1
280;131000000133;-23,65270374;-70,39953029;360;336;0;54;0;0;282;223;FALSE;observed_2024_program_match;592;0.0743243243;0;0.0743243243;0.0844594595;0.0743243243;0.1587837838;0;0.1587837838;0.1587837838;0.0016891892;0.1587837838;0.160472973;0.839527027;0.160472973;1
283;131000000133;-23,65084;-70,40194;245;233;0;37;0;0;196;527;FALSE;observed_2024_program_match;1068;0.0421348315;0;0.0421348315;0.031835206;0.0421348315;0.0739700375;0.0018726592;0.0739700375;0.0758426966;0;0.0758426966;0.0758426966;0.9241573034;0.0758426966;1
284;131000000133;-23,65363;-70,39886;180;128;0;11;0;0;117;33;FALSE;observed_2024_program_match;154;0.0324675325;0;0.0324675325;0.1233766234;0.0324675325;0.1558441558;0;0.1558441558;0.1558441558;0;0.1558441558;0.1558441558;0.8441558442;0.1558441558;1
285;131000000133;-23,65013;-70,40115;140;71;0;0;0;0;71;104;FALSE;observed_2024_program_match;362;0.0193370166;0;0.0193370166;0.0276243094;0.0193370166;0.046961326;0.0027624309;0.046961326;0.0497237569;0.0220994475;0.0497237569;0.0718232044;0.9281767956;0.0718232044;1
286;131000000133;-23,60877;-70,38182;210;203;0;32;0;0;171;268;FALSE;observed_2024_program_match;678;0.0560471976;0;0.0560471976;0.0442477876;0.0560471976;0.1002949853;0.0029498525;0.1002949853;0.1032448378;0.0014749263;0.1032448378;0.104719764;0.895280236;0.104719764;1
287;131000000133;-23,63081;-70,38768;270;239;0;29;0;0;210;417;FALSE;observed_2024_program_match;840;0.0428571429;0;0.0428571429;0.0416666667;0.0428571429;0.0845238095;0.0011904762;0.0845238095;0.0857142857;0;0.0857142857;0.0857142857;0.9142857143;0.0857142857;1
304;131000000133;-23,67577;-70,41076;120;19;0;0;0;0;19;244;FALSE;observed_2024_program_match;484;0.0185950413;0;0.0185950413;0.0041322314;0.0185950413;0.0227272727;0;0.0227272727;0.0227272727;0.0082644628;0.0227272727;0.0309917355;0.9690082645;0.0309917355;1
329;131000000133;-23,69374;-70,4098;43;1;0;0;0;0;1;78;FALSE;observed_2024_program_match;153;0.0196078431;0;0.0196078431;0;0.0196078431;0.0196078431;0;0.0196078431;0.0196078431;0.0196078431;0.0196078431;0.0392156863;0.9607843137;0.0392156863;1
335;131000000133;-23,66082;-70,39073;83;44;0;0;0;0;44;51;FALSE;observed_2024_program_match;116;0.0689655172;0;0.0689655172;0.0517241379;0.0689655172;0.1206896552;0;0.1206896552;0.1206896552;0.025862069;0.1206896552;0.1465517241;0.8534482759;0.1465517241;1
336;131000000133;-23,65576;-70,40056;135;12;0;0;0;0;12;158;TRUE;"mapped_1_to_1_from_2024_source_programs:131000000131;population_and_priority_distribution_mapped";249;0.0281124497992;0;0.0281124497992;0.00401606425703;0.0281124497992;0.0321285140562;0;0.0321285140562;0.0321285140562;0.0200803212851;0.0321285140562;0.0522088353414;0.947791164659;0.0522088353414;1
337;131000000133;-23,65032;-70,39141;95;8;0;0;0;0;8;148;FALSE;observed_2024_program_match;249;0.0120481928;0;0.0120481928;0.0040160643;0.0120481928;0.016064257;0;0.016064257;0.016064257;0;0.016064257;0.016064257;0.983935743;0.016064257;1
341;131000000131;-23,63322;-70,39498;84;16;0;0;0;0;16;210;FALSE;observed_2024_program_match;339;0.017699115;0;0.017699115;0.005899705;0.017699115;0.0235988201;0;0.0235988201;0.0235988201;0.01179941;0.0235988201;0.0353982301;0.9646017699;0.0353982301;1
342;131000000133;-23,66533;-70,40036;80;4;0;0;0;0;4;192;FALSE;observed_2024_program_match;262;0.0267175573;0;0.0267175573;0;0.0267175573;0.0267175573;0;0.0267175573;0.0267175573;0;0.0267175573;0.0267175573;0.9732824427;0.0267175573;1
344;131000000131;-23,5893;-70,379614;80;14;0;0;0;0;14;184;FALSE;observed_2024_program_match;329;0.0121580547;0;0.0121580547;0.0060790274;0.0121580547;0.0182370821;0;0.0182370821;0.0182370821;0.0121580547;0.0182370821;0.0303951368;0.9696048632;0.0303951368;1
350;131000000131;-23,65669;-70,39724;64;12;0;0;0;0;12;161;FALSE;observed_2024_program_match;284;0.0105633803;0;0.0105633803;0.0035211268;0.0105633803;0.014084507;0;0.014084507;0.014084507;0;0.014084507;0.014084507;0.985915493;0.014084507;1
356;131000000133;-23,65787;-70,39701;81;0;0;0;0;0;0;273;FALSE;observed_2024_program_match;411;0.0097323601;0;0.0097323601;0;0.0097323601;0.0097323601;0.00243309;0.0097323601;0.0121654501;0.00243309;0.0121654501;0.0145985401;0.9854014599;0.0145985401;1
367;131000000133;-23,10523;-70,44067;315;220;0;2;0;0;218;109;FALSE;observed_2024_program_match;112;0.2053571429;0;0.2053571429;0.2946428571;0.2053571429;0.5;0;0.5;0.5;0.0178571429;0.5;0.5178571429;0.4821428571;0.5178571429;1
371;131000000133;-22,89083;-69,32029;18;6;0;0;0;0;6;3;FALSE;observed_2024_program_match;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
372;131000000133;-25,40234;-70,47446;105;64;0;0;0;0;64;43;FALSE;observed_2024_program_match;60;0.1333333333;0;0.1333333333;0.15;0.1333333333;0.2833333333;0.0166666667;0.2833333333;0.3;0.0333333333;0.3;0.3333333333;0.6666666667;0.3333333333;1
373;131000000133;-25,40683;-70,48473;111;71;0;0;0;0;71;32;FALSE;observed_2024_program_match;75;0.0266666667;0;0.0266666667;0.1333333333;0.0266666667;0.16;0.0133333333;0.16;0.1733333333;0.0266666667;0.1733333333;0.2;0.8;0.2;1
379;131000000133;-26,34415;-70,61751;228;215;0;35;0;0;180;176;FALSE;observed_2024_program_match;182;0.2252747253;0;0.2252747253;0.1758241758;0.2252747253;0.4010989011;0.0164835165;0.4010989011;0.4175824176;0;0.4175824176;0.4175824176;0.5824175824;0.4175824176;1
384;131000000131;-26,3934638;-70,0555547;175;150;0;27;0;0;123;142;FALSE;observed_2024_program_match;146;0.2671232877;0;0.2671232877;0.1506849315;0.2671232877;0.4178082192;0.0068493151;0.4178082192;0.4246575342;0;0.4246575342;0.4246575342;0.5753424658;0.4246575342;1
392;131000000133;-26,24929;-69,62655;114;32;0;0;0;0;32;4;FALSE;observed_2024_program_match;12;0;0;0;0.3333333333;0;0.3333333333;0;0.3333333333;0.3333333333;0;0.3333333333;0.3333333333;0.6666666667;0.3333333333;1
396;131000000133;-27,36379;-70,33488;195;187;0;30;0;0;157;309;FALSE;observed_2024_program_match;720;0.0444444444;0;0.0444444444;0.0388888889;0.0444444444;0.0833333333;0;0.0833333333;0.0833333333;0;0.0833333333;0.0833333333;0.9166666667;0.0833333333;1
399;131000000133;-27,37435;-70,32822;450;423;0;68;0;0;355;143;FALSE;observed_2024_program_match;421;0.1330166271;0;0.1330166271;0.1496437055;0.1330166271;0.2826603325;0;0.2826603325;0.2826603325;0;0.2826603325;0.2826603325;0.7173396675;0.2826603325;1
400;131000000133;-27,36962;-70,32537;180;27;0;0;0;0;27;418;FALSE;observed_2024_program_match;981;0.0173292559;0;0.0173292559;0.004077472;0.0173292559;0.0214067278;0;0.0214067278;0.0214067278;0.001019368;0.0214067278;0.0224260958;0.9775739042;0.0224260958;1
420;131000000133;-27,40682;-70,26956;140;10;0;0;0;0;10;96;FALSE;observed_2024_program_match;208;0.0528846154;0;0.0528846154;0.0048076923;0.0528846154;0.0576923077;0.0048076923;0.0576923077;0.0625;0.0528846154;0.0625;0.1153846154;0.8846153846;0.1153846154;1
429;131000000133;-27,36741;-70,336635;152;9;0;0;0;0;9;388;FALSE;observed_2024_program_match;702;0.0256410256;0;0.0256410256;0.0014245014;0.0256410256;0.0270655271;0;0.0270655271;0.0270655271;0.00997151;0.0270655271;0.037037037;0.962962963;0.037037037;1
430;131000000113;-27,36151;-70,33335;110;61;0;0;0;0;61;66;FALSE;observed_2024_program_match;155;0.0258064516;0;0.0258064516;0.0580645161;0.0258064516;0.0838709677;0;0.0838709677;0.0838709677;0.0322580645;0.0838709677;0.1161290323;0.8838709677;0.1161290323;1
431;131000000113;-27,36679;-70,33379;80;47;0;0;0;0;47;57;FALSE;observed_2024_program_match;128;0.0078125;0;0.0078125;0.0546875;0.0078125;0.0625;0;0.0625;0.0625;0.015625;0.0625;0.078125;0.921875;0.078125;1
433;131000000131;-27,36987;-70,32711;90;7;0;0;0;0;7;315;FALSE;observed_2024_program_match;539;0.0148423006;0;0.0148423006;0.0018552876;0.0148423006;0.0166975881;0;0.0166975881;0.0166975881;0.0074211503;0.0166975881;0.0241187384;0.9758812616;0.0241187384;1
437;131000000133;-27,36244;-70,34571;315;278;0;48;0;0;230;738;FALSE;observed_2024_program_match;1068;0.0599250936;0;0.0599250936;0.0383895131;0.0599250936;0.0983146067;0.0009363296;0.0983146067;0.0992509363;0.0009363296;0.0992509363;0.1001872659;0.8998127341;0.1001872659;1
438;131000000133;-27,07283;-70,826262;176;165;0;27;0;0;138;136;FALSE;observed_2024_program_match;155;0.2258064516;0;0.2258064516;0.1548387097;0.2258064516;0.3806451613;0.0129032258;0.3806451613;0.3935483871;0;0.3935483871;0.3935483871;0.6064516129;0.3935483871;1
440;131000000133;-27,07013;-70,81048;102;3;0;0;0;0;3;125;FALSE;observed_2024_program_match;190;0.0631578947;0;0.0631578947;0;0.0631578947;0.0631578947;0;0.0631578947;0.0631578947;0.0315789474;0.0631578947;0.0947368421;0.9052631579;0.0947368421;1
441;131000000133;-27,830942;-70,107232;25;18;0;1;0;0;17;3;FALSE;observed_2024_program_match;25;0;0;0;0.08;0;0.08;0;0.08;0.08;0.12;0.08;0.2;0.8;0.2;1
448;131000000133;-28,57592;-70,75709;240;230;0;36;0;0;194;224;FALSE;observed_2024_program_match;468;0.0982905983;0;0.0982905983;0.0726495726;0.0982905983;0.1709401709;0.0042735043;0.1709401709;0.1752136752;0;0.1752136752;0.1752136752;0.8247863248;0.1752136752;1
449;131000000133;-28,58086;-70,75225;225;225;0;34;0;0;191;141;FALSE;observed_2024_program_match;312;0.0961538462;0;0.0961538462;0.1057692308;0.0961538462;0.2019230769;0;0.2019230769;0.2019230769;0;0.2019230769;0.2019230769;0.7980769231;0.2019230769;1
478;131000000133;-28,5764949;-70,7554274;87;5;0;0;0;0;5;181;FALSE;observed_2024_program_match;350;0.0257142857;0;0.0257142857;0;0.0257142857;0.0257142857;0;0.0257142857;0.0257142857;0.0142857143;0.0257142857;0.04;0.96;0.04;1
479;131000000133;-28,57444;-70,76644;125;76;0;0;0;0;76;342;FALSE;observed_2024_program_match;561;0.0499108734;0;0.0499108734;0.0196078431;0.0499108734;0.0695187166;0.0017825312;0.0695187166;0.0713012478;0.0017825312;0.0713012478;0.073083779;0.926916221;0.073083779;1
